     6000    6414.62   1.06981
     6100    6521.61   1.06966
     6200    6628.57   1.06950
     6300    6735.52   1.06931
     6400    6842.45   1.06912
     6500    6949.36   1.06891
     6600    7056.26   1.06869
     6700    7163.12   1.06845
     6800    7269.97   1.06820
     6900    7376.79   1.06795
     7000    7483.58         1
  372     1.00000000         1
      000     000.00   1.06951
      100     106.95   1.06931
      200     213.88   1.06912
      300     320.79   1.06895
      400     427.69   1.06877
      500     534.57   1.06862
      600     641.43   1.06847
      700     748.28   1.06835
      800     855.11   1.06822
      900     961.93   1.06811
     1000    1068.74   1.06802
     1100    1175.55   1.06794
     1200    1282.34   1.06789
     1300    1389.13   1.06785
     1400    1495.91   1.06781
     1500    1602.69   1.06778
     1600    1709.47   1.06776
     1700    1816.25   1.06775
     1800    1923.02   1.06775
     1900    2029.80   1.06776
     2000    2136.57   1.06778
     2100    2243.35   1.06780
     2200    2350.13   1.06782
     2300    2456.91   1.06785
     2400    2563.70   1.06788
     2500    2670.49   1.06791
     2600    2777.28   1.06794
     2700    2884.07   1.06797
     2800    2990.87   1.06801
     2900    3097.67   1.06805
     3000    3204.48   1.06809
     3100    3311.28   1.06814
     3200    3418.10   1.06820
     3300    3524.92   1.06825
     3400    3631.74   1.06830
     3500    3738.57   1.06835
     3600    3845.41   1.06839
     3700    3952.25   1.06843
     3800    4059.09   1.06847
     3900    4165.94   1.06850
     4000    4272.79   1.06852
     4100    4379.64   1.06853
     4200    4486.49   1.06854
     4300    4593.35   1.06855
     4400    4700.20   1.06855
     4500    4807.06   1.06855
     4600    4913.91   1.06855
     4700    5020.77   1.06855
     4800    5127.62   1.06854
     4900    5234.48   1.06853
     5000    5341.33   1.06851
     5100    5448.18   1.06847
     5200    5555.03   1.06843
     5300    5661.87   1.06837
     5400    5768.71   1.06830
     5500    5875.54   1.06822
     5600    5982.36   1.06813
     5700    6089.17   1.06802
     5800    6195.97   1.06791
     5900    6302.76   1.06779
     6000    6409.54   1.06765
     6100    6516.31   1.06750
     6200    6623.06   1.06735
     6300    6729.79   1.06718
     6400    6836.51   1.06702
     6500    6943.21   1.06686
     6600    7049.90   1.06670
     6700    7156.57   1.06653
     6800    7263.22   1.06636
     6900    7369.86   1.06618
     7000    7476.48         1
  454     1.00000000         1
      000     000.00   1.04944
      100     104.94   1.04926
      200     209.87   1.04918
      300     314.79   1.04916
      400     419.70   1.04918
      500     524.62   1.04922
      600     629.54   1.04930
      700     734.47   1.04938
      800     839.41   1.04947
      900     944.36   1.04956
     1000    1049.32   1.04967
     1100    1154.28   1.04977
     1200    1259.26   1.04990
     1300    1364.25   1.05003
     1400    1469.25   1.05017
     1500    1574.27   1.05031
     1600    1679.30   1.05047
     1700    1784.35   1.05062
     1800    1889.41   1.05077
     1900    1994.49   1.05092
     2000    2099.58   1.05108
     2100    2204.69   1.05125
     2200    2309.81   1.05142
     2300    2414.95   1.05159
     2400    2520.11   1.05179
     2500    2625.29   1.05199
     2600    2730.49   1.05218
     2700    2835.71   1.05238
     2800    2940.95   1.05259
     2900    3046.21   1.05279
     3000    3151.48   1.05300
     3100    3256.78   1.05322
     3200    3362.11   1.05343
     3300    3467.45   1.05365
     3400    3572.81   1.05386
     3500    3678.20   1.05406
     3600    3783.61   1.05427
     3700    3889.03   1.05446
     3800    3994.48   1.05464
     3900    4099.94   1.05479
     4000    4205.42   1.05493
     4100    4310.92   1.05506
     4200    4416.42   1.05519
     4300    4521.94   1.05531
     4400    4627.47   1.05543
     4500    4733.01   1.05555
     4600    4838.57   1.05566
     4700    4944.14   1.05578
     4800    5049.71   1.05588
     4900    5155.30   1.05598
     5000    5260.90   1.05608
     5100    5366.51   1.05618
     5200    5472.13   1.05625
     5300    5577.75   1.05630
     5400    5683.38   1.05633
     5500    5789.01   1.05630
     5600    5894.64   1.05626
     5700    6000.27   1.05620
     5800    6105.89   1.05613
     5900    6211.50   1.05603
     6000    6317.11   1.05593
     6100    6422.70   1.05583
     6200    6528.28   1.05571
     6300    6633.85   1.05558
     6400    6739.41   1.05545
     6500    6844.96   1.05529
     6600    6950.48   1.05511
     6700    7056.00   1.05493
     6800    7161.49   1.05472
     6900    7266.96   1.05452
     7000    7372.41         1
  602     1.00000000         1
      000     000.00   1.03641
      100     103.64   1.03636
      200     207.28   1.03632
      300     310.91   1.03627
      400     414.54   1.03624
      500     518.16   1.03621
      600     621.78   1.03620
      700     725.40   1.03620
      800     829.02   1.03622
      900     932.64   1.03625
     1000    1036.27   1.03634
     1100    1139.90   1.03644
     1200    1243.55   1.03655
     1300    1347.20   1.03667
     1400    1450.87   1.03680
     1500    1554.55   1.03692
     1600    1658.24   1.03705
     1700    1761.95   1.03720
     1800    1865.67   1.03733
     1900    1969.40   1.03747
     2000    2073.15   1.03760
     2100    2176.91   1.03775
     2200    2280.68   1.03788
     2300    2384.47   1.03803
     2400    2488.27   1.03818
     2500    2592.09   1.03833
     2600    2695.92   1.03848
     2700    2799.77   1.03862
     2800    2903.63   1.03876
     2900    3007.51   1.03885
     3000    3111.39   1.03903
     3100    3215.30   1.03916
     3200    3319.21   1.03931
     3300    3423.14   1.03944
     3400    3527.09   1.03957
     3500    3631.04   1.03971
     3600    3735.02   1.03984
     3700    3839.00   1.03996
     3800    3943.00   1.04007
     3900    4047.00   1.04019
     4000    4151.02   1.04030
     4100    4255.05   1.04042
     4200    4359.09   1.04052
     4300    4463.15   1.04060
     4400    4567.21   1.04069
     4500    4671.27   1.04078
     4600    4775.35   1.04084
     4700    4879.44   1.04090
     4800    4983.53   1.04095
     4900    5087.62   1.04098
     5000    5191.72   1.04098
     5100    5295.82   1.04098
     5200    5399.92   1.04098
     5300    5504.01   1.04097
     5400    5608.11   1.04096
     5500    5712.21   1.04093
     5600    5816.30   1.04088
     5700    5920.39   1.04082
     5800    6024.47   1.04072
     5900    6128.54   1.04059
     6000    6232.60   1.04045
     6100    6336.65   1.04029
     6200    6440.67   1.04012
     6300    6544.69   1.03994
     6400    6648.68   1.03975
     6500    6752.66   1.03958
     6600    6856.61   1.03939
     6700    6960.55   1.03919
     6800    7064.47   1.03900
     6900    7168.37   1.03880
     7000    7272.25         1
  622     1.00000000         1
      000     000.00   1.01862
      100     101.86   1.01862
      200     203.72   1.01862
      300     305.59   1.01862
      400     407.45   1.01863
      500     509.31   1.01865
      600     611.18   1.01867
      700     713.04   1.01870
      800     814.91   1.01873
      900     916.79   1.01878
     1000    1018.66   1.01883
     1100    1120.55   1.01891
     1200    1222.44   1.01898
     1300    1324.34   1.01905
     1400    1426.24   1.01912
     1500    1528.15   1.01920
     1600    1630.07   1.01929
     1700    1732.00   1.01939
     1800    1833.94   1.01950
     1900    1935.89   1.01961
     2000    2037.85   1.01972
     2100    2139.82   1.01983
     2200    2241.81   1.01994
     2300    2343.80   1.02007
     2400    2445.81   1.02020
     2500    2547.83   1.02033
     2600    2649.86   1.02046
     2700    2751.91   1.02061
     2800    2853.97   1.02076
     2900    2956.04   1.02091
     3000    3058.14   1.02106
     3100    3160.24   1.02120
     3200    3262.36   1.02133
     3300    3364.49   1.02146
     3400    3466.64   1.02158
     3500    3568.80   1.02169
     3600    3670.97   1.02180
     3700    3773.15   1.02190
     3800    3875.34   1.02201
     3900    3977.54   1.02211
     4000    4079.75   1.02219
     4100    4181.97   1.02229
     4200    4284.20   1.02238
     4300    4386.44   1.02244
     4400    4488.68   1.02251
     4500    4590.93   1.02257
     4600    4693.19   1.02262
     4700    4795.45   1.02268
     4800    4897.72   1.02272
     4900    4999.99   1.02274
     5000    5102.26   1.02275
     5100    5204.54   1.02274
     5200    5306.81   1.02271
     5300    5409.08   1.02268
     5400    5511.35   1.02262
     5500    5613.61   1.02255
     5600    5715.87   1.02245
     5700    5818.11   1.02234
     5800    5920.35   1.02222
     5900    6022.57   1.02208
     6000    6124.78   1.02192
     6100    6226.97   1.02176
     6200    6329.15   1.02159
     6300    6431.30   1.02140
     6400    6533.44   1.02121
     6500    6635.57   1.02100
     6600    6737.67   1.02079
     6700    6839.74   1.02058
     6800    6941.80   1.02037
     6900    7043.84   1.02015
     7000    7145.85         1
  613     1.00000000         1
      000     000.00   1.01656
      100     101.66   1.01653
      200     203.31   1.01651
      300     304.96   1.01650
      400     406.61   1.01650
      500     508.26   1.01652
      600     609.91   1.01656
      700     711.57   1.01659
      800     813.23   1.01663
      900     914.89   1.01667
     1000    1016.56   1.01671
     1100    1118.23   1.01677
     1200    1219.91   1.01683
     1300    1321.59   1.01690
     1400    1423.28   1.01698
     1500    1524.98   1.01708
     1600    1626.68   1.01718
     1700    1728.40   1.01729
     1800    1830.13   1.01740
     1900    1931.87   1.01752
     2000    2033.62   1.01762
     2100    2135.39   1.01773
     2200    2237.16   1.01785
     2300    2338.94   1.01796
     2400    2440.74   1.01807
     2500    2542.55   1.01819
     2600    2644.37   1.01831
     2700    2746.20   1.01842
     2800    2848.04   1.01855
     2900    2949.89   1.01869
     3000    3051.76   1.01881
     3100    3153.64   1.01892
     3200    3255.54   1.01903
     3300    3357.44   1.01913
     3400    3459.35   1.01923
     3500    3561.27   1.01934
     3600    3663.21   1.01941
     3700    3765.15   1.01951
     3800    3867.10   1.01960
     3900    3969.06   1.01970
     4000    4071.03   1.01979
     4100    4173.01   1.01987
     4200    4275.00   1.01994
     4300    4376.99   1.02001
     4400    4478.99   1.02008
     4500    4581.00   1.02013
     4600    4683.01   1.02019
     4700    4785.03   1.02023
     4800    4887.05   1.02025
     4900    4989.08   1.02025
     5000    5091.10   1.02024
     5100    5193.13   1.02022
     5200    5295.15   1.02019
     5300    5397.17   1.02016
     5400    5499.19   1.02013
     5500    5601.20   1.02008
     5600    5703.21   1.02004
     5700    5805.21   1.01999
     5800    5907.21   1.01991
     5900    6009.20   1.01981
     6000    6111.18   1.01970
     6100    6213.15   1.01955
     6200    6315.11   1.01941
     6300    6417.05   1.01925
     6400    6518.97   1.01908
     6500    6620.88   1.01888
     6600    6722.77   1.01866
     6700    6824.63   1.01843
     6800    6926.48   1.01819
     6900    7028.30   1.01793
     7000    7130.09         1
  674     1.0                1
     0000    0000.00   1.01199
     0100    0101.20   1.01187
     0200    0202.39   1.01178
     0300    0303.56   1.01173
     0400    0404.74   1.01170
     0500    0505.91   1.01168
     0600    0607.08   1.01168
